capa_id,open_date,close_date,days_to_close,product,department,severity,root_cause,regulatory_reference,incident_summary,root_cause_detail,corrective_action,preventive_action,effectiveness_check,effectiveness_rating,recurrence,investigator_name,investigator_role,approver_name,approver_role,ca_completion_date,pa_completion_date,ec_completion_date
CAPA-2022-0025,2022-12-17,2023-04-12,116,Atorvastatin 20mg Tablets,QC Laboratory,Medium,Environmental Control Failure,USP <1058>,HVAC system failure in Grade B manufacturing suite C — differential pressure dropped to 6 Pa (limit ≥15 Pa) for 3.1 hours during batch A5978B.,HVAC supply fan belt failed — no redundancy available on this system. Production was not notified of HVAC alarm for 45 minutes due to alarm panel location in engineering area.,"Area evacuated. Batch risk-assessed — manufacturing in early stage, low risk. Batch accepted with documented QA justification. HVAC repaired with new belt and alignment check.",Redundant HVAC fan installed in Grade B suite. HVAC alarms mirrored to production area panel and QA office. Response procedure added to area emergency response document.,Zero HVAC differential pressure failures for 12 months. Alarm response time ≤15 minutes on monthly alarm log.,Effective,No,L. Chen,Validation Lead,Dr. A. Gupta,Site Director,2023-01-12,2023-01-30,2023-04-02
CAPA-2020-0026,2020-07-09,2020-10-06,89,Lisinopril 10mg Tablets,Dispensary,Medium,Material / Supplier Defect,EU GMP Chapter 5,Label batch LOT-32241 from PackRight Ltd — barcode scan failure rate 7.1% on incoming inspection. Required scan success rate: ≥99.9%. Labels unreadable by automated dispensing and packing systems.,"Supplier printer head alignment had drifted — narrow bars in Code 128 barcode below minimum width. Defect only apparent at scan, not visible inspection. Supplier had no outgoing scan verification.",Lot rejected. Emergency reprint commissioned at alternative print supplier with 48-hour turnaround. Incoming 100% barcode scan check performed on emergency lot — passed.,100% barcode scan verification required from supplier with each label delivery — scan report attached to COA. Incoming 100% scan added to label QC procedure.,Zero barcode scan failures on incoming label lots for 24 months. 100% supplier scan certificate compliance on monthly QC log.,Effective,No,A. Kumar,QC Manager,Dr. L. Fernandez,QP / Responsible Person,2020-08-08,2020-08-25,2020-10-03
CAPA-2020-0027,2020-06-15,2020-11-13,151,Atorvastatin 20mg Tablets,Packaging,High,Equipment Failure,EU GMP Chapter 5,Freeze dryer BAL-970 shelf temperature excursion during primary drying of batch A8461B. Shelf temp rose 7.4°C above validated maximum for 5.0 hours. 2072 vials potentially affected.,Shelf temperature controller PID settings reset to factory default after firmware update. Validation of PID settings not included in software change control.,"Cycle aborted. PID settings restored and validated. Batch quarantined and assessed via appearance, moisture content, and reconstitution testing.",Software change control procedure updated to include PID settings verification post-update. Lyophiliser firmware updates require re-validation of temperature control before production use.,Zero shelf temperature excursions for 12 months post-implementation. Software change control compliance reviewed at quarterly audit.,Partially Effective,No,J. Patel,QA Manager,Dr. S. Mehta,QA Director,2020-06-25,2020-08-20,2020-11-02
CAPA-2023-0028,2023-01-01,2023-06-07,157,Omeprazole 20mg Capsules,Dispensary,Medium,Process Deviation,EU GMP Chapter 5,Visible particulate found in 30 vials during 100% visual inspection of batch D3184B (7351 total vials). Particles identified as glass lamellae from vial inner surface.,Glass vial supplier had process change — new vial mould introduced without notifying pharmaceutical customer. New mould produced higher rate of glass delamination under washing/sterilisation conditions.,Batch rejected and destroyed. All vials from same supplier lot quarantined. Supplier formally notified. Emergency supply sourced from qualified alternative supplier for ongoing production.,Supplier change notification clause added to vial supplier quality agreement — any process change requires prior notification and sample submission for qualification. Incoming vial delamination test introduced.,Zero glass particulate events for 12 months. Annual vial supplier audit to verify change notification process.,Partially Effective,No,T. Brown,Regulatory Affairs Lead,Dr. L. Fernandez,QP / Responsible Person,2023-01-11,2023-03-04,2023-05-28
CAPA-2019-0029,2019-07-21,2019-10-25,96,Warfarin 5mg Tablets,Sterile Fill,High,Process Deviation,21 CFR Part 211.113,Visible particulate found in 50 vials during 100% visual inspection of batch D4919B (6603 total vials). Particles identified as glass lamellae from vial inner surface.,Glass vial supplier had process change — new vial mould introduced without notifying pharmaceutical customer. New mould produced higher rate of glass delamination under washing/sterilisation conditions.,Batch rejected and destroyed. All vials from same supplier lot quarantined. Supplier formally notified. Emergency supply sourced from qualified alternative supplier for ongoing production.,Supplier change notification clause added to vial supplier quality agreement — any process change requires prior notification and sample submission for qualification. Incoming vial delamination test introduced.,Zero glass particulate events for 12 months. Annual vial supplier audit to verify change notification process.,Effective,No,L. Chen,Validation Lead,Dr. L. Fernandez,QP / Responsible Person,2019-07-30,2019-08-18,2019-10-11
CAPA-2023-0030,2023-05-08,2023-08-06,90,Heparin Sodium 5000IU/mL,Sterile Fill,Low,Equipment Failure,EU GMP Annex 1,Autoclave AC-524 temperature sensor drifted — batch D6421C sterilisation load recorded 118.9°C against required 121°C minimum. Biological indicator result pending.,Thermocouple calibration drift identified. Calibration due date was 3 weeks prior — PM task delayed due to production scheduling conflict.,Load quarantined. Thermocouple replaced and calibrated. Biological indicator result: growth detected — load re-sterilised. Batch risk-assessed by QA.,Autoclave calibration scheduled independently of production — engineering calendar separated from production planning. Calibration overdue = automatic production hold on that autoclave.,100% on-time calibration for autoclave sensors for 12 months. Zero sterilisation failures attributed to sensor drift.,Effective,No,J. Patel,QA Manager,Dr. L. Fernandez,QP / Responsible Person,2023-05-13,2023-06-09,2023-07-28
CAPA-2023-0031,2023-03-30,2023-07-28,120,Atorvastatin 20mg Tablets,Manufacturing,Medium,Documentation Error,21 CFR Part 211.100,Calibration certificate for FD-865 expired 74 days before equipment use during batch B8999A manufacture. Identified by QA during batch record review.,Calibration due dates maintained in manual spreadsheet — spreadsheet not updated when calibration was rescheduled by 3 weeks. No automated alert system.,Equipment taken out of service and calibrated. All results generated with equipment during out-of-calibration period reviewed. Batch data confirmed valid — no impact identified.,All equipment calibration due dates entered in LIMS with automated alert 30 and 14 days before due date. EBR prevents equipment use if calibration status is overdue.,100% on-time equipment calibration for 12 months on LIMS compliance report.,Effective,No,M. Williams,QA Analyst,Dr. L. Fernandez,QP / Responsible Person,2023-04-08,2023-05-22,2023-07-25
CAPA-2020-0032,2020-05-16,2020-08-28,104,Paracetamol 500mg Tablets,Packaging,Low,Software / System Failure,EU GMP Chapter 5,Inventory management system showed 87kg more Povidone than physically present — discrepancy discovered during quarterly stocktake for batch A2375C planning.,"System rounding error in unit conversion (kg to g) accumulating over {random.randint(3,12)} months of transactions. Small per-transaction error undetected until stocktake.",Physical count performed. System corrected to match physical stock. Transaction history reviewed — rounding error traced to specific transaction type. Vendor engaged for fix.,Automatic monthly system-to-physical stock reconciliation for critical materials. Variance >1kg triggers immediate investigation. Rounding error fix deployed and validated.,Zero stock discrepancies >1kg for 12 months on monthly reconciliation report.,Effective,No,P. Singh,Production Manager,Dr. A. Gupta,Site Director,2020-06-04,2020-06-29,2020-08-19
CAPA-2018-0033,2018-05-08,2018-08-31,115,Amoxicillin 500mg Capsules,Dispensary,Low,Human Error,21 CFR Part 211.101,Two raw material lots LOT-43065 and LOT-20735 mixed during dispensing for batch D1317C — both materials look identical. Mix-up detected by second operator during verification before batch manufacture began.,Both lots stored adjacent to each other on same shelf. Labels had similar colouring. Operator picked from wrong position under dim lighting conditions in dispensary.,Mixed quantities discarded. New quantities dispensed from correct identified lots. Dispensary lighting levels measured and found below recommended 500 lux — emergency lighting upgrade initiated.,Dispensary storage reorganised — similar-looking materials stored in separate zones with physical dividers. Lighting upgraded to 750 lux. Barcode scan of material and lot mandatory before dispensing.,Zero material mix-up events for 12 months. Dispensary lighting compliance ≥500 lux on quarterly environmental check.,Effective,No,R. Sharma,Engineering Lead,Dr. L. Fernandez,QP / Responsible Person,2018-05-20,2018-06-06,2018-08-28
CAPA-2019-0034,2019-03-19,2019-07-22,125,Morphine Sulfate 10mg/mL Injection,Manufacturing,High,Environmental Control Failure,EU GMP Chapter 5,Relative humidity in tablet manufacturing suite rose to 63.0% — limit ≤55% RH. Exceedance lasted 5.7 hours during batch B8619C compression. Moisture-sensitive product at risk.,Dehumidification unit failed during seasonal high-humidity period. Preventive maintenance had not identified developing fault — unit operating at reduced capacity before failure.,Compression halted. Batch moisture content tested on retained samples — passed. Dehumidification unit repaired. Room re-qualified before restart.,Humidity alert set at 50% RH — dehumidification increases automatically before limit reached. Dehumidification unit performance check added to monthly PM including capacity verification.,RH within 55% limit for 12 months on continuous monitoring log. Zero humidity-related process holds.,Effective,No,R. Sharma,Engineering Lead,Dr. S. Mehta,QA Director,2019-04-11,2019-04-17,2019-07-15
