incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level,cleaned_incident
INC-2019-0015,API assay for lot LOT-51145 from PackRight Ltd measured 97.1% against specification of 91.5% to 105.6%.,Material / Supplier Defect,Root cause investigation and CAPA report,Add in-process checks at critical steps,High,api assay for lot lot 51145 from packright ltd measured 97 1 against specification of 91 5 to 105 6
INC-2019-0016,Bioburden of 45 CFU per 100mL detected in WFI water used for batch B9375B. Alert limit is 7 CFU per 100mL. Batch quarantined.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High,bioburden of 45 cfu per 100ml detected in wfi water used for batch b9375b alert limit is 7 cfu per 100ml batch quarantined
INC-2019-0017,pH meter TBL-873 gave inconsistent readings during in-process checks on batch B8612C. Calibration check failed with 0.07 pH unit drift from standard.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,High,ph meter tbl 873 gave inconsistent readings during in process checks on batch b8612c calibration check failed with 0 07 ph unit drift from standard
INC-2019-0018,Two raw material lots LOT-65069 and LOT-81582 mixed in dispensary during weighing for batch D7678B. Mix-up detected by second operator during verification check.,Human Error,Operator retraining,Deploy continuous training programme,Medium,two raw material lots lot 65069 and lot 81582 mixed in dispensary during weighing for batch d7678b mix up detected by second operator during verification check
INC-2019-0019,Blend uniformity failure detected for batch B8657A. RSD of 2.3% exceeds limit of 5.7%. Blending time was 12.4 minutes against validated 40 minutes.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Medium,blend uniformity failure detected for batch b8657a rsd of 2 3 exceeds limit of 5 7 blending time was 12 4 minutes against validated 40 minutes
INC-2019-0020,New employee OP-2876 in Manufacturing department performed environmental sampling without completing qualification assessment for SOP SOP-021. Onboarding training gap identified.,Training Gap,System configuration correction,Revise SOP with enhanced controls,Low,new employee op 2876 in manufacturing department performed environmental sampling without completing qualification assessment for standard operating procedure standard operating procedure 021 onboarding training gap identified
INC-2019-0021,Certificate of Analysis for Magnesium Stearate lot LOT-76317 from PackRight Ltd referenced incorrect test method version. GMP documentation non-compliance identified during incoming review.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,Medium,certificate of analysis for magnesium stearate lot lot 76317 from packright ltd referenced incorrect test method version gmp documentation non compliance identified during incoming review
INC-2019-0022,Environmental monitoring software SAP QM failed to flag exceedance of action limit in room Room C303 during batch B8613C processing period.,Software / System Failure,Document revision and re-issuance,Deploy continuous training programme,High,environmental monitoring software sap qm failed to flag exceedance of action limit in room room c303 during batch b8613c processing period
INC-2019-0023,HVAC system failure in cleanroom Room B202 resulted in differential pressure drop below specification. Grade integrity compromised for 3.0 hours during batch B8800C manufacture.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,High,hvac system failure in cleanroom room b202 resulted in differential pressure drop below specification grade integrity compromised for 3 0 hours during batch b8800c manufacture
INC-2019-0024,Yield for batch C2647A was 87.3% against expected yield of 98.6%. Unaccounted material loss triggers investigation.,Process Deviation,Deep cleaning and sanitisation,Revise SOP with enhanced controls,High,yield for batch c2647a was 87 3 against expected yield of 98 6 unaccounted material loss triggers investigation
INC-2019-0025,Environmental monitoring trend shows increasing CFU counts in Room E205 over 41 days. Action limit breached during batch E4697C manufacturing period.,Environmental Control Failure,Deep cleaning and sanitisation,Implement environmental monitoring trend analysis,Low,environmental monitoring trend shows increasing cfu counts in room e205 over 41 days action limit breached during batch e4697c manufacturing period
INC-2019-0026,Retention sample for batch E4241B not taken per SOP SOP-083 requirements. Omission identified during annual product review and sample inventory check.,Documentation Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low,retention sample for batch e4241b not taken per standard operating procedure standard operating procedure 083 requirements omission identified during annual product review and sample inventory check
INC-2019-0027,Particle size distribution of HPMC lot LOT-98117 outside specification. D90 measured at 341.0 µm against NMT limit.,Material / Supplier Defect,Operator retraining,Add in-process checks at critical steps,High,particle size distribution of hpmc lot lot 98117 outside specification d90 measured at 341 0 m against nmt limit
INC-2019-0028,Two raw material lots LOT-77952 and LOT-92578 mixed in dispensary during weighing for batch D9431A. Mix-up detected by second operator during verification check.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium,two raw material lots lot 77952 and lot 92578 mixed in dispensary during weighing for batch d9431a mix up detected by second operator during verification check
INC-2019-0029,Freeze dryer FP-621 experienced shelf temperature excursion during primary drying of batch A3522B. Shelf temperature rose 13.3 degrees C above the validated specification limit.,Equipment Failure,Process parameter adjustment,Add in-process checks at critical steps,Medium,freeze dryer fp 621 experienced shelf temperatureerature excursion during primary drying of batch a3522b shelf temperatureerature rose 13 3 degrees c above the validated specification limit
INC-2019-0030,Relative humidity in manufacturing suite Suite A rose to 70.0% exceeding limit for 0.8 hours during batch E7180B processing.,Environmental Control Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High,relative humidity in manufacturing suite suite a rose to 70 0 exceeding limit for 0 8 hours during batch e7180b processing
INC-2019-0031,pH meter TBL-741 gave inconsistent readings during in-process checks on batch C9742B. Calibration check failed with 0.06 pH unit drift from standard.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Medium,ph meter tbl 741 gave inconsistent readings during in process checks on batch c9742b calibration check failed with 0 06 ph unit drift from standard
INC-2019-0032,Blend uniformity failure detected for batch B9153C. RSD of 7.4% exceeds limit of 6.3%. Blending time was 15.1 minutes against validated 54 minutes.,Process Deviation,Equipment repair and recalibration,Upgrade software with validation,Low,blend uniformity failure detected for batch b9153c rsd of 7 4 exceeds limit of 6 3 blending time was 15 1 minutes against validated 54 minutes
INC-2019-0033,Microbial contamination found in Sodium Starch Glycolate lot LOT-42850 from PackRight Ltd. Total aerobic count 24 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,Medium,microbial contamination found in sodium starch glycolate lot lot 42850 from packright ltd total aerobic count 24 cfu g exceeds nmt limit material quarantined
INC-2019-0034,Dissolution profile for batch C6549A failed at 45 minute timepoint. 18.4% dissolved against specification of NLT 77.0%.,Process Deviation,Root cause investigation and CAPA report,Upgrade software with validation,Medium,dissolution profile for batch c6549a failed at 45 minute timepoint 18 4 dissolved against specification of nlt 77 0
INC-2019-0035,Water purification system CP-199 conductivity exceeded 1.9 uS/cm limit. Batch A5986B manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium,water purification system cp 199 conductivity exceeded 1 9 us cm limit batch a5986b manufactured with potentially non compliant purified water batch quarantined
INC-2019-0036,Freeze dryer HP-757 experienced shelf temperature excursion during primary drying of batch D2501C. Shelf temperature rose 22.5 degrees C above the validated specification limit.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,Low,freeze dryer hp 757 experienced shelf temperatureerature excursion during primary drying of batch d2501c shelf temperatureerature rose 22 5 degrees c above the validated specification limit
INC-2019-0037,Ambient temperature in dispensary Room D104 rose to 4.3 degrees C for 4.1 hours. Temperature-sensitive raw materials dispensed for batch A3854B during exceedance.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,Medium,ambient temperatureerature in dispensary room d104 rose to 4 3 degrees c for 4 1 hours temperatureerature sensitive raw materials dispensed for batch a3854b during exceedance
INC-2019-0038,Freeze dryer TBL-490 experienced shelf temperature excursion during primary drying of batch B5505C. Shelf temperature rose 27.3 degrees C above the validated specification limit.,Equipment Failure,Equipment repair and recalibration,Implement preventive maintenance schedule,Low,freeze dryer tbl 490 experienced shelf temperatureerature excursion during primary drying of batch b5505c shelf temperatureerature rose 27 3 degrees c above the validated specification limit
INC-2019-0039,Granulator EQ-700 impeller speed dropped from target 266 rpm to 47 rpm during wet granulation of batch C3131C. Granule properties affected.,Equipment Failure,Batch quarantine and investigation,Install automated alarm and alert system,Low,granulator eq 700 impeller speed dropped from target 266 rpm to 47 rpm during wet granulation of batch c3131c granule properties affected
INC-2019-0040,Operator OP-3347 added 8.9% excess of Magnesium Stearate to batch C6751A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Operator retraining,Revise SOP with enhanced controls,High,operator op 3347 added 8 9 excess of magnesium stearate to batch c6751a during dispensing error not detected until in process check batch placed on hold for investigation
INC-2019-0041,Bioburden of 9 CFU per 100mL detected in WFI water used for batch D7785B. Alert limit is 7 CFU per 100mL. Batch quarantined.,Process Deviation,Operator retraining,Add in-process checks at critical steps,Low,bioburden of 9 cfu per 100ml detected in wfi water used for batch d7785b alert limit is 7 cfu per 100ml batch quarantined
INC-2019-0042,Viable particle count in Grade B area exceeded action limit. 15 CFU per m3 detected at sample point during batch E7626C manufacture.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,Medium,viable particle count in grade b area exceeded action limit 15 cfu per m3 detected at sample point during batch e7626c manufacture
INC-2019-0043,Operator OP-8354 added 19.8% excess of Povidone to batch B2234A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium,operator op 8354 added 19 8 excess of povidone to batch b2234a during dispensing error not detected until in process check batch placed on hold for investigation
INC-2019-0044,Water purification system CEN-694 conductivity exceeded 2.3 uS/cm limit. Batch E9307B manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Deep cleaning and sanitisation,Add in-process checks at critical steps,Medium,water purification system cen 694 conductivity exceeded 2 3 us cm limit batch e9307b manufactured with potentially non compliant purified water batch quarantined
INC-2019-0045,Microbial contamination detected in Grade A filling area. Environmental monitoring sample returned 23 CFU. Action limit is 5 CFU.,Environmental Control Failure,Product recall and destruction,Implement environmental monitoring trend analysis,Medium,microbial contamination detected in grade a filling area environmental monitoring sample returned 23 cfu action limit is 5 cfu
INC-2019-0046,Operator OP-3253 added 14.4% excess of Magnesium Stearate to batch B6598B during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Deep cleaning and sanitisation,Deploy continuous training programme,Medium,operator op 3253 added 14 4 excess of magnesium stearate to batch b6598b during dispensing error not detected until in process check batch placed on hold for investigation
INC-2019-0047,Training record for operator OP-8684 does not include current version of SOP SOP-025. Operator performed visual inspection without current documented qualification.,Documentation Error,Operator retraining,Deploy continuous training programme,Low,training record for operator op 8684 does not include current version of standard operating procedure standard operating procedure 025 operator performed visual inspection without current documented qualification
INC-2019-0048,Operator OP-8167 skipped in-process weight check at 50% completion during tablet compression of batch B5469B. Step omitted from batch record.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,High,operator op 8167 skipped in process weight check at 50 completion during tablet compression of batch b5469b step omitted from batch record
INC-2019-0049,HVAC system failure in cleanroom Room C303 resulted in differential pressure drop below specification. Grade integrity compromised for 7.3 hours during batch A1311B manufacture.,Environmental Control Failure,Batch quarantine and investigation,Implement environmental monitoring trend analysis,Medium,hvac system failure in cleanroom room c303 resulted in differential pressure drop below specification grade integrity compromised for 7 3 hours during batch a1311b manufacture
INC-2019-0050,Blend uniformity failure detected for batch E9914C. RSD of 4.1% exceeds limit of 3.5%. Blending time was 13.4 minutes against validated 60 minutes.,Process Deviation,Process parameter adjustment,Upgrade software with validation,Low,blend uniformity failure detected for batch e9914c rsd of 4 1 exceeds limit of 3 5 blending time was 13 4 minutes against validated 60 minutes
INC-2019-0051,Operator OP-4131 in Warehouse not trained on emergency response procedure. Training gap identified during unannounced mock drill exercise.,Training Gap,Root cause investigation and CAPA report,Add in-process checks at critical steps,Low,operator op 4131 in warehouse not trained on emergency response procedure training gap identified during unannounced mock drill exercise
INC-2019-0052,Bulk density of Sodium Starch Glycolate lot LOT-66440 from ExciPure Corp outside specification. Compressibility index of 15.9% exceeds limit affecting downstream processing.,Material / Supplier Defect,Batch quarantine and investigation,Enhance supplier qualification process,Low,bulk density of sodium starch glycolate lot lot 66440 from excipure corp outside specification compressibility index of 15 9 exceeds limit affecting downstream processing
INC-2019-0053,Granule moisture content for batch B1510A measured at 2.4% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,Low,granule moisture content for batch b1510a measured at 2 4 exceeding validated limit additional drying required before compression could proceed
INC-2019-0054,Tablet press TBL-783 produced tablets with hardness below specification during compression of batch B8292A. Average hardness 3.6 kP against minimum of 6.4 kP.,Equipment Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium,tablet press tbl 783 produced tablets with hardness below specification during compression of batch b8292a average hardness 3 6 kp against minimum of 6 4 kp
INC-2019-0055,Freeze dryer CEN-796 experienced shelf temperature excursion during primary drying of batch C2215B. Shelf temperature rose 34.1 degrees C above the validated specification limit.,Equipment Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Low,freeze dryer cen 796 experienced shelf temperatureerature excursion during primary drying of batch c2215b shelf temperatureerature rose 34 1 degrees c above the validated specification limit
INC-2019-0056,Balance TBL-962 failed calibration check before dispensing operations for batch B3526A. Drift of 0.25 g recorded against tolerance of 0.01 g.,Equipment Failure,Root cause investigation and CAPA report,Increase monitoring frequency,Medium,balance tbl 962 failed calibration check before dispensing operations for batch b3526a drift of 0 25 g recorded against tolerance of 0 01 g
INC-2019-0057,Stability protocol for batch C6658B not updated following formulation change approval. Study conducted per obsolete protocol. Results may not be reportable.,Documentation Error,System configuration correction,Introduce dual-person verification,Low,stability protocol for batch c6658b not updated following formulation change approval study conducted per obsolete protocol results may not be reportable
INC-2019-0058,Wrong batch number A5609B entered into batch record for batch B9163C. Documentation error discovered during QA review prior to batch release.,Human Error,Document revision and re-issuance,Introduce dual-person verification,Medium,wrong batch number a5609b entered into batch record for batch b9163c documentation error discovered during qa review prior to batch release
INC-2019-0059,Fill volume for batch E4189B vials measured outside specification. 40 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,Low,fill volume for batch e4189b vials measured outside specification 40 vials showed fill volume below lower specification limit on filling line
INC-2019-0060,Stability protocol for batch C6427C not updated following formulation change approval. Study conducted per obsolete protocol. Results may not be reportable.,Documentation Error,Document revision and re-issuance,Introduce dual-person verification,High,stability protocol for batch c6427c not updated following formulation change approval study conducted per obsolete protocol results may not be reportable
INC-2019-0061,Visual inspection of batch E8726C identified 20 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Batch quarantine and investigation,Upgrade software with validation,Medium,visual inspection of batch e8726c identified 20 units with visible particulate matter batch held pending particle identification and risk assessment
INC-2019-0062,Bioburden of 27 CFU per 100mL detected in WFI water used for batch D6654A. Alert limit is 6 CFU per 100mL. Batch quarantined.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium,bioburden of 27 cfu per 100ml detected in wfi water used for batch d6654a alert limit is 6 cfu per 100ml batch quarantined
INC-2019-0063,QA analyst OP-1611 released batch C1969A without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium,qa analyst op 1611 released batch c1969a without reviewing all in process deviation records one unresolved deviation found post release during annual product review
INC-2019-0064,Incorrect cleaning agent applied to equipment CEN-763 following batch A6417A processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,High,incorrect cleaning agent applied to equipment cen 763 following batch a6417a processing cleaning standard operating procedure not consulted prior to cleaning contamination risk assessed
INC-2019-0065,Incorrect expiry date printed on labels for batch E1187B. 1895 units incorrectly labelled before detection by QA inspection.,Human Error,Document revision and re-issuance,Deploy continuous training programme,High,incorrect expiry date printed on labels for batch e1187b 1895 units incorrectly labelled before detection by qa inspection
INC-2019-0066,pH of HPMC lot LOT-57419 from PharmChem Ltd measured 6.5 outside specification of 4.1 to 7.0. Material quarantined.,Material / Supplier Defect,Batch quarantine and investigation,Add in-process checks at critical steps,Medium,ph of hpmc lot lot 57419 from pharmchem ltd measured 6 5 outside specification of 4 1 to 7 0 material quarantined
INC-2019-0067,Print quality failure on label batch LOT-65534 from BioRaw GmbH. Barcode not readable by automated scanner. 8.4% of labels failed reading test.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,Medium,print quality failure on label batch lot 65534 from bioraw gmbh barcode not readable by automated scanner 8 4 of labels failed reading test
INC-2019-0068,Operator OP-1056 followed previous gowning procedure for Grade A entry. Updated SOP SOP-097 training not completed prior to cleanroom entry.,Training Gap,System configuration correction,Deploy continuous training programme,Low,operator op 1056 followed previous gowning procedure for grade a entry updated standard operating procedure standard operating procedure 097 training not completed prior to cleanroom entry
INC-2019-0069,Heavy metals test for Microcrystalline Cellulose lot LOT-23224 from ExciPure Corp failed specification. 9.25 ppm detected against permitted limit.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,Medium,heavy metals test for microcrystalline cellulose lot lot 23224 from excipure corp failed specification 9 25 ppm detected against permitted limit
INC-2019-0070,Particle size distribution of HPMC lot LOT-98965 outside specification. D90 measured at 255.0 µm against NMT limit.,Material / Supplier Defect,Root cause investigation and CAPA report,Upgrade software with validation,Low,particle size distribution of hpmc lot lot 98965 outside specification d90 measured at 255 0 m against nmt limit
INC-2019-0071,Operator OP-7079 set drying temperature to 64.4 degrees C instead of specified 32.1 degrees C for batch B6411C. Deviation noted after 7.1 hours of processing.,Human Error,Operator retraining,Enhance supplier qualification process,Medium,operator op 7079 set drying temperatureerature to 64 4 degrees c instead of specified 32 1 degrees c for batch b6411c deviation noted after 7 1 hours of processing
INC-2019-0072,Tablet press HP-506 produced tablets with hardness below specification during compression of batch D4974C. Average hardness 5.4 kP against minimum of 8.2 kP.,Equipment Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,Medium,tablet press hp 506 produced tablets with hardness below specification during compression of batch d4974c average hardness 5 4 kp against minimum of 8 2 kp
INC-2019-0073,Tablet disintegration for batch B9180C exceeded 9.9 minutes at 15 minute timepoint. Specification limit is NMT 20 minutes.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,High,tablet disintegration for batch b9180c exceeded 9 9 minutes at 15 minute timepoint specification limit is nmt 20 minutes
INC-2019-0074,Freeze dryer FP-117 experienced shelf temperature excursion during primary drying of batch E5501C. Shelf temperature rose 10.6 degrees C above the validated specification limit.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Medium,freeze dryer fp 117 experienced shelf temperatureerature excursion during primary drying of batch e5501c shelf temperatureerature rose 10 6 degrees c above the validated specification limit
INC-2019-0075,Dissolution apparatus CEN-965 paddle speed not verified prior to testing batch A3807A. Speed found at 57 rpm instead of specified 59 rpm.,Equipment Failure,Equipment repair and recalibration,Install automated alarm and alert system,Low,dissolution apparatus cen 965 paddle speed not verified prior to testing batch a3807a speed found at 57 rpm instead of specified 59 rpm
INC-2019-0076,Training record for operator OP-3292 does not include current version of SOP SOP-089. Operator performed batch record review without current documented qualification.,Documentation Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium,training record for operator op 3292 does not include current version of standard operating procedure standard operating procedure 089 operator performed batch record review without current documented qualification
INC-2019-0077,Bioburden of 36 CFU per 100mL detected in WFI water used for batch E5839A. Alert limit is 2 CFU per 100mL. Batch quarantined.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Low,bioburden of 36 cfu per 100ml detected in wfi water used for batch e5839a alert limit is 2 cfu per 100ml batch quarantined
INC-2019-0078,Gowning procedure not followed correctly by operator OP-8121 entering Grade A filling zone during batch C9079A filling operation. Non-compliance confirmed by CCTV review.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Low,gowning procedure not followed correctly by operator op 8121 entering grade a filling zone during batch c9079a filling operation non compliance confirmed by cctv review
INC-2019-0079,Out-of-specification result for batch E3230B not reported within required timeframe. Reporting delay of 11.3 hours above the required notification limit.,Documentation Error,System configuration correction,Upgrade software with validation,Low,out of specification result for batch e3230b not reported within required timeframe reporting delay of 11 3 hours above the required notification limit
INC-2019-0080,Operator OP-7703 in Sterile Fill not trained on emergency response procedure. Training gap identified during unannounced mock drill exercise.,Training Gap,Root cause investigation and CAPA report,Add in-process checks at critical steps,High,operator op 7703 in sterile fill not trained on emergency response procedure training gap identified during unannounced mock drill exercise
INC-2019-0081,Stability protocol for batch D9907A not updated following formulation change approval. Study conducted per obsolete protocol. Results may not be reportable.,Documentation Error,System configuration correction,Introduce dual-person verification,Low,stability protocol for batch d9907a not updated following formulation change approval study conducted per obsolete protocol results may not be reportable
INC-2019-0082,Excipient Microcrystalline Cellulose lot LOT-64522 from PharmChem Ltd contained visible foreign particulate. Failed visual inspection during incoming QC screening.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,Medium,excipient microcrystalline cellulose lot lot 64522 from pharmchem ltd contained visible foreign particulate failed visual inspection during incoming qc screening
INC-2019-0083,Operator OP-7636 used previous batch record template for batch E7985B documentation. Version mismatch identified during QA batch record review before release.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,High,operator op 7636 used previous batch record temperaturelate for batch e7985b documentation version mismatch identified during qa batch record review before release
INC-2019-0084,Raw data for batch E6134C testing deleted from system before secondary review completed. Data integrity breach identified during internal audit review.,Documentation Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium,raw data for batch e6134c testing deleted from system before secondary review completed data integrity breach identified during internal audit review
INC-2019-0085,Visual inspection of batch D9804C identified 49 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium,visual inspection of batch d9804c identified 49 units with visible particulate matter batch held pending particle identification and risk assessment
INC-2019-0086,HVAC system failure in cleanroom Room B202 resulted in differential pressure drop below specification. Grade integrity compromised for 6.3 hours during batch C9880A manufacture.,Environmental Control Failure,Deep cleaning and sanitisation,Implement environmental monitoring trend analysis,Medium,hvac system failure in cleanroom room b202 resulted in differential pressure drop below specification grade integrity compromised for 6 3 hours during batch c9880a manufacture
INC-2019-0087,Visual inspection of batch C5794B identified 26 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Process parameter adjustment,Revise SOP with enhanced controls,Medium,visual inspection of batch c5794b identified 26 units with visible particulate matter batch held pending particle identification and risk assessment
INC-2019-0088,Print quality failure on label batch LOT-74843 from BioRaw GmbH. Barcode not readable by automated scanner. 6.1% of labels failed reading test.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,High,print quality failure on label batch lot 74843 from bioraw gmbh barcode not readable by automated scanner 6 1 of labels failed reading test
INC-2019-0089,Calibration certificate for CP-480 expired 71 days before use during batch A6905B manufacture. Expired status not identified before equipment use.,Documentation Error,Operator retraining,Deploy continuous training programme,Medium,calibration certificate for cp 480 expired 71 days before use during batch a6905b manufacture expired status not identified before equipment use
INC-2019-0090,Calibration certificate for HP-492 expired 32 days before use during batch B8826A manufacture. Expired status not identified before equipment use.,Documentation Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low,calibration certificate for hp 492 expired 32 days before use during batch b8826a manufacture expired status not identified before equipment use
INC-2019-0091,Balance BLD-459 failed calibration check before dispensing operations for batch A3293A. Drift of 0.12 g recorded against tolerance of 0.01 g.,Equipment Failure,Equipment repair and recalibration,Implement preventive maintenance schedule,Medium,balance bld 459 failed calibration check before dispensing operations for batch a3293a drift of 0 12 g recorded against tolerance of 0 01 g
INC-2019-0092,Filling pump AC-881 showed variable fill volume on line 4. Fill weights ranged 485.1mg to 516.3mg against target for batch E7895B.,Equipment Failure,Process parameter adjustment,Install automated alarm and alert system,Low,filling pump ac 881 showed variable fill volume on line 4 fill weights ranged 485 1mg to 516 3mg against target for batch e7895b
