incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level
INC-2019-0015,API assay for lot LOT-51145 from PackRight Ltd measured 97.1% against specification of 91.5% to 105.6%.,Material / Supplier Defect,Root cause investigation and CAPA report,Add in-process checks at critical steps,High
INC-2019-0016,Bioburden of 45 CFU per 100mL detected in WFI water used for batch B9375B. Alert limit is 7 CFU per 100mL. Batch quarantined.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High
INC-2019-0017,pH meter TBL-873 gave inconsistent readings during in-process checks on batch B8612C. Calibration check failed with 0.07 pH unit drift from standard.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,High
INC-2019-0018,Two raw material lots LOT-65069 and LOT-81582 mixed in dispensary during weighing for batch D7678B. Mix-up detected by second operator during verification check.,Human Error,Operator retraining,Deploy continuous training programme,Medium
INC-2019-0019,Blend uniformity failure detected for batch B8657A. RSD of 2.3% exceeds limit of 5.7%. Blending time was 12.4 minutes against validated 40 minutes.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Medium
INC-2019-0020,New employee OP-2876 in Manufacturing department performed environmental sampling without completing qualification assessment for SOP SOP-021. Onboarding training gap identified.,Training Gap,System configuration correction,Revise SOP with enhanced controls,Low
INC-2019-0021,Certificate of Analysis for Magnesium Stearate lot LOT-76317 from PackRight Ltd referenced incorrect test method version. GMP documentation non-compliance identified during incoming review.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,Medium
INC-2019-0022,Environmental monitoring software SAP QM failed to flag exceedance of action limit in room Room C303 during batch B8613C processing period.,Software / System Failure,Document revision and re-issuance,Deploy continuous training programme,High
INC-2019-0023,HVAC system failure in cleanroom Room B202 resulted in differential pressure drop below specification. Grade integrity compromised for 3.0 hours during batch B8800C manufacture.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,High
INC-2019-0024,Yield for batch C2647A was 87.3% against expected yield of 98.6%. Unaccounted material loss triggers investigation.,Process Deviation,Deep cleaning and sanitisation,Revise SOP with enhanced controls,High
INC-2019-0025,Environmental monitoring trend shows increasing CFU counts in Room E205 over 41 days. Action limit breached during batch E4697C manufacturing period.,Environmental Control Failure,Deep cleaning and sanitisation,Implement environmental monitoring trend analysis,Low
INC-2019-0026,Retention sample for batch E4241B not taken per SOP SOP-083 requirements. Omission identified during annual product review and sample inventory check.,Documentation Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low
INC-2019-0027,Particle size distribution of HPMC lot LOT-98117 outside specification. D90 measured at 341.0 µm against NMT limit.,Material / Supplier Defect,Operator retraining,Add in-process checks at critical steps,High
INC-2019-0028,Two raw material lots LOT-77952 and LOT-92578 mixed in dispensary during weighing for batch D9431A. Mix-up detected by second operator during verification check.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium
INC-2019-0029,Freeze dryer FP-621 experienced shelf temperature excursion during primary drying of batch A3522B. Shelf temperature rose 13.3 degrees C above the validated specification limit.,Equipment Failure,Process parameter adjustment,Add in-process checks at critical steps,Medium
INC-2019-0030,Relative humidity in manufacturing suite Suite A rose to 70.0% exceeding limit for 0.8 hours during batch E7180B processing.,Environmental Control Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High
INC-2019-0031,pH meter TBL-741 gave inconsistent readings during in-process checks on batch C9742B. Calibration check failed with 0.06 pH unit drift from standard.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Medium
INC-2019-0032,Blend uniformity failure detected for batch B9153C. RSD of 7.4% exceeds limit of 6.3%. Blending time was 15.1 minutes against validated 54 minutes.,Process Deviation,Equipment repair and recalibration,Upgrade software with validation,Low
INC-2019-0033,Microbial contamination found in Sodium Starch Glycolate lot LOT-42850 from PackRight Ltd. Total aerobic count 24 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,Medium
INC-2019-0034,Dissolution profile for batch C6549A failed at 45 minute timepoint. 18.4% dissolved against specification of NLT 77.0%.,Process Deviation,Root cause investigation and CAPA report,Upgrade software with validation,Medium
INC-2019-0035,Water purification system CP-199 conductivity exceeded 1.9 uS/cm limit. Batch A5986B manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium
INC-2019-0036,Freeze dryer HP-757 experienced shelf temperature excursion during primary drying of batch D2501C. Shelf temperature rose 22.5 degrees C above the validated specification limit.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,Low
INC-2019-0037,Ambient temperature in dispensary Room D104 rose to 4.3 degrees C for 4.1 hours. Temperature-sensitive raw materials dispensed for batch A3854B during exceedance.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,Medium
INC-2019-0038,Freeze dryer TBL-490 experienced shelf temperature excursion during primary drying of batch B5505C. Shelf temperature rose 27.3 degrees C above the validated specification limit.,Equipment Failure,Equipment repair and recalibration,Implement preventive maintenance schedule,Low
INC-2019-0039,Granulator EQ-700 impeller speed dropped from target 266 rpm to 47 rpm during wet granulation of batch C3131C. Granule properties affected.,Equipment Failure,Batch quarantine and investigation,Install automated alarm and alert system,Low
INC-2019-0040,Operator OP-3347 added 8.9% excess of Magnesium Stearate to batch C6751A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Operator retraining,Revise SOP with enhanced controls,High
INC-2019-0041,Bioburden of 9 CFU per 100mL detected in WFI water used for batch D7785B. Alert limit is 7 CFU per 100mL. Batch quarantined.,Process Deviation,Operator retraining,Add in-process checks at critical steps,Low
INC-2019-0042,Viable particle count in Grade B area exceeded action limit. 15 CFU per m3 detected at sample point during batch E7626C manufacture.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,Medium
INC-2019-0043,Operator OP-8354 added 19.8% excess of Povidone to batch B2234A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium
INC-2019-0044,Water purification system CEN-694 conductivity exceeded 2.3 uS/cm limit. Batch E9307B manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Deep cleaning and sanitisation,Add in-process checks at critical steps,Medium
INC-2019-0045,Microbial contamination detected in Grade A filling area. Environmental monitoring sample returned 23 CFU. Action limit is 5 CFU.,Environmental Control Failure,Product recall and destruction,Implement environmental monitoring trend analysis,Medium
INC-2019-0046,Operator OP-3253 added 14.4% excess of Magnesium Stearate to batch B6598B during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Deep cleaning and sanitisation,Deploy continuous training programme,Medium
INC-2019-0047,Training record for operator OP-8684 does not include current version of SOP SOP-025. Operator performed visual inspection without current documented qualification.,Documentation Error,Operator retraining,Deploy continuous training programme,Low
INC-2019-0048,Operator OP-8167 skipped in-process weight check at 50% completion during tablet compression of batch B5469B. Step omitted from batch record.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,High
INC-2019-0049,HVAC system failure in cleanroom Room C303 resulted in differential pressure drop below specification. Grade integrity compromised for 7.3 hours during batch A1311B manufacture.,Environmental Control Failure,Batch quarantine and investigation,Implement environmental monitoring trend analysis,Medium
INC-2019-0050,Blend uniformity failure detected for batch E9914C. RSD of 4.1% exceeds limit of 3.5%. Blending time was 13.4 minutes against validated 60 minutes.,Process Deviation,Process parameter adjustment,Upgrade software with validation,Low
INC-2019-0051,Operator OP-4131 in Warehouse not trained on emergency response procedure. Training gap identified during unannounced mock drill exercise.,Training Gap,Root cause investigation and CAPA report,Add in-process checks at critical steps,Low
INC-2019-0052,Bulk density of Sodium Starch Glycolate lot LOT-66440 from ExciPure Corp outside specification. Compressibility index of 15.9% exceeds limit affecting downstream processing.,Material / Supplier Defect,Batch quarantine and investigation,Enhance supplier qualification process,Low
INC-2019-0053,Granule moisture content for batch B1510A measured at 2.4% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,Low
INC-2019-0054,Tablet press TBL-783 produced tablets with hardness below specification during compression of batch B8292A. Average hardness 3.6 kP against minimum of 6.4 kP.,Equipment Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2019-0055,Freeze dryer CEN-796 experienced shelf temperature excursion during primary drying of batch C2215B. Shelf temperature rose 34.1 degrees C above the validated specification limit.,Equipment Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Low
INC-2019-0056,Balance TBL-962 failed calibration check before dispensing operations for batch B3526A. Drift of 0.25 g recorded against tolerance of 0.01 g.,Equipment Failure,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
INC-2019-0057,Stability protocol for batch C6658B not updated following formulation change approval. Study conducted per obsolete protocol. Results may not be reportable.,Documentation Error,System configuration correction,Introduce dual-person verification,Low
INC-2019-0058,Wrong batch number A5609B entered into batch record for batch B9163C. Documentation error discovered during QA review prior to batch release.,Human Error,Document revision and re-issuance,Introduce dual-person verification,Medium
INC-2019-0059,Fill volume for batch E4189B vials measured outside specification. 40 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,Low
INC-2019-0060,Stability protocol for batch C6427C not updated following formulation change approval. Study conducted per obsolete protocol. Results may not be reportable.,Documentation Error,Document revision and re-issuance,Introduce dual-person verification,High
INC-2019-0061,Visual inspection of batch E8726C identified 20 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Batch quarantine and investigation,Upgrade software with validation,Medium
INC-2019-0062,Bioburden of 27 CFU per 100mL detected in WFI water used for batch D6654A. Alert limit is 6 CFU per 100mL. Batch quarantined.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2019-0063,QA analyst OP-1611 released batch C1969A without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium
INC-2019-0064,Incorrect cleaning agent applied to equipment CEN-763 following batch A6417A processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,High
INC-2019-0065,Incorrect expiry date printed on labels for batch E1187B. 1895 units incorrectly labelled before detection by QA inspection.,Human Error,Document revision and re-issuance,Deploy continuous training programme,High
INC-2019-0066,pH of HPMC lot LOT-57419 from PharmChem Ltd measured 6.5 outside specification of 4.1 to 7.0. Material quarantined.,Material / Supplier Defect,Batch quarantine and investigation,Add in-process checks at critical steps,Medium
INC-2019-0067,Print quality failure on label batch LOT-65534 from BioRaw GmbH. Barcode not readable by automated scanner. 8.4% of labels failed reading test.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,Medium
INC-2019-0068,Operator OP-1056 followed previous gowning procedure for Grade A entry. Updated SOP SOP-097 training not completed prior to cleanroom entry.,Training Gap,System configuration correction,Deploy continuous training programme,Low
INC-2019-0069,Heavy metals test for Microcrystalline Cellulose lot LOT-23224 from ExciPure Corp failed specification. 9.25 ppm detected against permitted limit.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,Medium
INC-2019-0070,Particle size distribution of HPMC lot LOT-98965 outside specification. D90 measured at 255.0 µm against NMT limit.,Material / Supplier Defect,Root cause investigation and CAPA report,Upgrade software with validation,Low
INC-2019-0071,Operator OP-7079 set drying temperature to 64.4 degrees C instead of specified 32.1 degrees C for batch B6411C. Deviation noted after 7.1 hours of processing.,Human Error,Operator retraining,Enhance supplier qualification process,Medium
INC-2019-0072,Tablet press HP-506 produced tablets with hardness below specification during compression of batch D4974C. Average hardness 5.4 kP against minimum of 8.2 kP.,Equipment Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,Medium
INC-2019-0073,Tablet disintegration for batch B9180C exceeded 9.9 minutes at 15 minute timepoint. Specification limit is NMT 20 minutes.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,High
INC-2019-0074,Freeze dryer FP-117 experienced shelf temperature excursion during primary drying of batch E5501C. Shelf temperature rose 10.6 degrees C above the validated specification limit.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Medium
INC-2019-0075,Dissolution apparatus CEN-965 paddle speed not verified prior to testing batch A3807A. Speed found at 57 rpm instead of specified 59 rpm.,Equipment Failure,Equipment repair and recalibration,Install automated alarm and alert system,Low
INC-2019-0076,Training record for operator OP-3292 does not include current version of SOP SOP-089. Operator performed batch record review without current documented qualification.,Documentation Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium
INC-2019-0077,Bioburden of 36 CFU per 100mL detected in WFI water used for batch E5839A. Alert limit is 2 CFU per 100mL. Batch quarantined.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Low
INC-2019-0078,Gowning procedure not followed correctly by operator OP-8121 entering Grade A filling zone during batch C9079A filling operation. Non-compliance confirmed by CCTV review.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Low
INC-2019-0079,Out-of-specification result for batch E3230B not reported within required timeframe. Reporting delay of 11.3 hours above the required notification limit.,Documentation Error,System configuration correction,Upgrade software with validation,Low
INC-2019-0080,Operator OP-7703 in Sterile Fill not trained on emergency response procedure. Training gap identified during unannounced mock drill exercise.,Training Gap,Root cause investigation and CAPA report,Add in-process checks at critical steps,High
INC-2019-0081,Stability protocol for batch D9907A not updated following formulation change approval. Study conducted per obsolete protocol. Results may not be reportable.,Documentation Error,System configuration correction,Introduce dual-person verification,Low
INC-2019-0082,Excipient Microcrystalline Cellulose lot LOT-64522 from PharmChem Ltd contained visible foreign particulate. Failed visual inspection during incoming QC screening.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,Medium
INC-2019-0083,Operator OP-7636 used previous batch record template for batch E7985B documentation. Version mismatch identified during QA batch record review before release.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,High
INC-2019-0084,Raw data for batch E6134C testing deleted from system before secondary review completed. Data integrity breach identified during internal audit review.,Documentation Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium
INC-2019-0085,Visual inspection of batch D9804C identified 49 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium
INC-2019-0086,HVAC system failure in cleanroom Room B202 resulted in differential pressure drop below specification. Grade integrity compromised for 6.3 hours during batch C9880A manufacture.,Environmental Control Failure,Deep cleaning and sanitisation,Implement environmental monitoring trend analysis,Medium
INC-2019-0087,Visual inspection of batch C5794B identified 26 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Process parameter adjustment,Revise SOP with enhanced controls,Medium
INC-2019-0088,Print quality failure on label batch LOT-74843 from BioRaw GmbH. Barcode not readable by automated scanner. 6.1% of labels failed reading test.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,High
INC-2019-0089,Calibration certificate for CP-480 expired 71 days before use during batch A6905B manufacture. Expired status not identified before equipment use.,Documentation Error,Operator retraining,Deploy continuous training programme,Medium
INC-2019-0090,Calibration certificate for HP-492 expired 32 days before use during batch B8826A manufacture. Expired status not identified before equipment use.,Documentation Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low
INC-2019-0091,Balance BLD-459 failed calibration check before dispensing operations for batch A3293A. Drift of 0.12 g recorded against tolerance of 0.01 g.,Equipment Failure,Equipment repair and recalibration,Implement preventive maintenance schedule,Medium
INC-2019-0092,Filling pump AC-881 showed variable fill volume on line 4. Fill weights ranged 485.1mg to 516.3mg against target for batch E7895B.,Equipment Failure,Process parameter adjustment,Install automated alarm and alert system,Low
INC-2019-0093,Retention sample for batch A6081C not taken per SOP SOP-008 requirements. Omission identified during annual product review and sample inventory check.,Documentation Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low
INC-2019-0094,Out-of-specification result for batch A1480B not reported within required timeframe. Reporting delay of 2.7 hours above the required notification limit.,Documentation Error,Operator retraining,Implement preventive maintenance schedule,Low
INC-2019-0095,Gowning procedure not followed correctly by operator OP-1579 entering Grade A filling zone during batch D6963B filling operation. Non-compliance confirmed by CCTV review.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,High
INC-2019-0096,Freeze dryer HP-398 experienced shelf temperature excursion during primary drying of batch D1130B. Shelf temperature rose 38.1 degrees C above the validated specification limit.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium
INC-2019-0097,Mixing time for batch A3332C reduced to 8.3 minutes due to equipment issue. Validated minimum mixing time is 28 minutes. Blend uniformity testing initiated.,Process Deviation,Process parameter adjustment,Increase monitoring frequency,High
INC-2019-0098,pH meter FP-574 gave inconsistent readings during in-process checks on batch C4401B. Calibration check failed with 0.12 pH unit drift from standard.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,Medium
INC-2019-0099,Dissolution apparatus AC-302 paddle speed not verified prior to testing batch A2010A. Speed found at 56 rpm instead of specified 77 rpm.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Medium
INC-2019-0100,Operator OP-1567 used previous batch record template for batch B5505B documentation. Version mismatch identified during QA batch record review before release.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,Low
INC-2019-0101,Incorrect cleaning agent applied to equipment BLD-376 following batch E9231B processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium
INC-2019-0102,Incorrect expiry date printed on labels for batch B6210C. 1892 units incorrectly labelled before detection by QA inspection.,Human Error,Deep cleaning and sanitisation,Enhance supplier qualification process,High
INC-2019-0103,Raw data for batch C1975A testing deleted from system before secondary review completed. Data integrity breach identified during internal audit review.,Documentation Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low
INC-2019-0104,Dissolution profile for batch C3086A failed at 60 minute timepoint. 8.5% dissolved against specification of NLT 81.0%.,Process Deviation,Process parameter adjustment,Add in-process checks at critical steps,Medium
INC-2019-0105,Wrong batch number A5831A entered into batch record for batch D9078B. Documentation error discovered during QA review prior to batch release.,Human Error,Operator retraining,Introduce dual-person verification,Medium
INC-2019-0106,Visual inspection of batch A8066C identified 31 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,Low
INC-2019-0107,Double dispensing of Povidone occurred for batch E7349A. Operator OP-7052 did not check previous dispensing record. Total weight 15.3% above specification.,Human Error,Operator retraining,Deploy continuous training programme,High
INC-2019-0108,Tablet disintegration for batch D4860B exceeded 9.2 minutes at 45 minute timepoint. Specification limit is NMT 10 minutes.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low
INC-2019-0109,Yield for batch D2843B was 88.6% against expected yield of 98.6%. Unaccounted material loss triggers investigation.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High
INC-2019-0110,Operator OP-2462 added 22.7% excess of Povidone to batch D6257B during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,High
INC-2019-0111,SCADA system Veeva Vault for filling line 4 generated incorrect yield for batch B5488B. Discrepancy of 80 units not flagged.,Software / System Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2019-0112,Balance HP-977 failed calibration check before dispensing operations for batch A3669C. Drift of 0.23 g recorded against tolerance of 0.01 g.,Equipment Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High
INC-2019-0113,Bioburden of 43 CFU per 100mL detected in WFI water used for batch A1120C. Alert limit is 6 CFU per 100mL. Batch quarantined.,Process Deviation,Process parameter adjustment,Increase monitoring frequency,Medium
INC-2019-0114,Heavy metals test for Magnesium Stearate lot LOT-83170 from ChemSource Inc failed specification. 8.98 ppm detected against permitted limit.,Material / Supplier Defect,Product recall and destruction,Upgrade software with validation,High
INC-2019-0115,Relative humidity in manufacturing suite Suite B rose to 77.0% exceeding limit for 1.9 hours during batch D4187C processing.,Environmental Control Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Medium
INC-2019-0116,Granule moisture content for batch D7280A measured at 1.2% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High
INC-2019-0117,Freeze dryer CP-475 experienced shelf temperature excursion during primary drying of batch A9267A. Shelf temperature rose 26.0 degrees C above the validated specification limit.,Equipment Failure,Deep cleaning and sanitisation,Increase monitoring frequency,High
INC-2019-0118,Granule moisture content for batch E2928B measured at 4.4% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Batch quarantine and investigation,Upgrade software with validation,Medium
INC-2019-0119,Two raw material lots LOT-16014 and LOT-33969 mixed in dispensary during weighing for batch A5760B. Mix-up detected by second operator during verification check.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low
INC-2019-0120,Freeze dryer BLD-704 experienced shelf temperature excursion during primary drying of batch A3611A. Shelf temperature rose 23.9 degrees C above the validated specification limit.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Low
INC-2019-0121,Incorrect expiry date printed on labels for batch D3435C. 2025 units incorrectly labelled before detection by QA inspection.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low
INC-2019-0122,Balance BLD-522 failed calibration check before dispensing operations for batch D1291A. Drift of 0.13 g recorded against tolerance of 0.01 g.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,High
INC-2019-0123,Operator OP-2741 followed previous gowning procedure for Grade A entry. Updated SOP SOP-006 training not completed prior to cleanroom entry.,Training Gap,Root cause investigation and CAPA report,Introduce dual-person verification,Medium
INC-2019-0124,Heavy metals test for HPMC lot LOT-96305 from ExciPure Corp failed specification. 1.93 ppm detected against permitted limit.,Material / Supplier Defect,Root cause investigation and CAPA report,Upgrade software with validation,Low
INC-2019-0125,Moisture content of Povidone lot LOT-64099 from ExciPure Corp was 5.2% exceeding NMT specification. Material quarantined and rejected. Supplier notified.,Material / Supplier Defect,Document revision and re-issuance,Add in-process checks at critical steps,Medium
INC-2019-0126,Fill volume for batch E7839C vials measured outside specification. 19 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2019-0127,API assay for lot LOT-93071 from PackRight Ltd measured 108.3% against specification of 94.8% to 106.5%.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,High
INC-2019-0128,Balance EQ-892 failed calibration check before dispensing operations for batch B6285C. Drift of 0.22 g recorded against tolerance of 0.01 g.,Equipment Failure,Equipment repair and recalibration,Implement preventive maintenance schedule,Low
INC-2019-0129,LIMS system ChemStation generated incorrect assay calculation for batch E4994A. Formula error found in calculation module. All results require manual verification.,Software / System Failure,Document revision and re-issuance,Upgrade software with validation,High
INC-2019-0130,Incorrect cleaning agent applied to equipment CP-315 following batch E9736A processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low
INC-2019-0131,Operator OP-2036 used previous batch record template for batch D2938C documentation. Version mismatch identified during QA batch record review before release.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,High
INC-2019-0132,Heavy metals test for Active Pharmaceutical Ingredient lot LOT-85067 from ExciPure Corp failed specification. 2.03 ppm detected against permitted limit.,Material / Supplier Defect,Root cause investigation and CAPA report,Add in-process checks at critical steps,Low
INC-2019-0133,Dissolution apparatus CEN-438 paddle speed not verified prior to testing batch A4234C. Speed found at 34 rpm instead of specified 95 rpm.,Equipment Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,Medium
INC-2019-0134,Change control CC-9824 closed without completing all required verification actions. Validation report not attached before closure. Non-compliance found at audit.,Documentation Error,System configuration correction,Revise SOP with enhanced controls,Low
INC-2019-0135,Operator OP-5767 followed previous gowning procedure for Grade A entry. Updated SOP SOP-018 training not completed prior to cleanroom entry.,Training Gap,System configuration correction,Introduce dual-person verification,Low
INC-2019-0136,Operator OP-8989 in QC Laboratory not trained on emergency response procedure. Training gap identified during unannounced mock drill exercise.,Training Gap,Supplier qualification review,Revise SOP with enhanced controls,Low
INC-2019-0137,Operator OP-7201 in Manufacturing not trained on emergency response procedure. Training gap identified during unannounced mock drill exercise.,Training Gap,Document revision and re-issuance,Add in-process checks at critical steps,Medium
INC-2019-0138,Centrifuge HP-178 imbalance alarm triggered during processing of batch B8207A. Processing halted at 25% completion. Product integrity requires assessment.,Equipment Failure,Batch quarantine and investigation,Increase monitoring frequency,High
INC-2019-0139,Dissolution profile for batch D1305C failed at 30 minute timepoint. 20.6% dissolved against specification of NLT 78.0%.,Process Deviation,Process parameter adjustment,Revise SOP with enhanced controls,High
INC-2019-0140,Electronic batch record system Veeva Vault lost data entry for batch E1019C step 13 due to server timeout. Manual data recovery required.,Software / System Failure,Root cause investigation and CAPA report,Upgrade software with validation,Medium
INC-2019-0141,pH meter FP-293 gave inconsistent readings during in-process checks on batch E9908B. Calibration check failed with 0.12 pH unit drift from standard.,Equipment Failure,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
